,formatted_work_type,state,count,med_salary
0,Full-time,CA,1536,7708.0
1,Full-time,TX,1102,7083.0
2,Full-time,NY,787,8320.0
3,Full-time,FL,655,6250.0
4,Full-time,IL,482,7083.0
5,Full-time,GA,380,6041.0
6,Full-time,WA,371,6725.0
7,Full-time,NC,367,5833.0
8,Full-time,PA,366,6233.0
9,Full-time,MA,363,7040.0
10,Full-time,OH,357,5833.0
11,Full-time,VA,350,7975.0
12,Full-time,NJ,274,7654.0
13,Full-time,AZ,269,4791.0
14,Full-time,MI,263,4800.0
15,Full-time,MD,259,7083.0
16,Full-time,CO,241,6041.0
17,Full-time,TN,241,6041.0
18,Full-time,MN,222,4125.0
19,Contract,CA,220,7680.0
20,Full-time,SC,219,5600.0
21,Full-time,WI,209,5280.0
22,Full-time,MO,174,4320.0
23,Contract,TX,166,7334.0
24,Full-time,IN,152,4640.0
25,Full-time,CT,127,5833.0
26,Full-time,OR,124,6240.0
27,Full-time,UT,121,4000.0
28,Full-time,NV,104,3680.0
29,Part-time,CA,103,3418.0
30,Full-time,OK,101,4541.0
31,Full-time,KS,94,3541.0
32,Full-time,IA,90,5833.0
33,Full-time,DC,89,7975.0
34,Full-time,LA,86,6250.0
35,Full-time,KY,83,4833.0
36,Contract,NY,81,6400.0
37,Part-time,TX,81,2720.0
38,Full-time,AL,80,6041.0
39,Contract,NJ,77,5920.0
40,Part-time,NY,68,3680.0
41,Contract,VA,60,7040.0
42,Contract,FL,58,5120.0
43,Contract,IL,58,5280.0
44,Full-time,ID,58,7840.0
45,Contract,GA,53,4960.0
46,Full-time,DE,53,4800.0
47,Full-time,AR,51,5417.0
48,Contract,MA,49,7000.0
49,Full-time,NE,49,4291.0
50,Full-time,MS,48,5710.0
51,Contract,PA,47,8320.0
52,Contract,WA,46,8480.0
53,Part-time,FL,42,2240.0
54,Contract,NC,41,5920.0
55,Full-time,NM,41,5135.0
56,Part-time,NC,40,3680.0
57,Full-time,RI,39,7040.0
58,Full-time,NH,38,4375.0
59,Contract,AZ,36,4160.0
60,Part-time,MN,36,2400.0
61,Contract,MI,33,6880.0
62,Part-time,MA,33,3040.0
63,Part-time,MI,33,3040.0
64,Part-time,VA,33,2560.0
65,Full-time,ND,31,4500.0
66,Part-time,NJ,30,2240.0
67,Contract,CO,29,6080.0
68,Contract,OH,29,4960.0
69,Part-time,MD,29,2080.0
70,Full-time,WV,28,4791.0
71,Part-time,CO,28,3200.0
72,Contract,IN,27,7520.0
73,Full-time,HI,27,2720.0
74,Contract,MN,26,7520.0
75,Part-time,IL,26,3200.0
76,Part-time,OH,26,3208.0
77,Contract,MO,25,8160.0
78,Part-time,GA,23,2400.0
79,Full-time,SD,22,4583.0
80,Part-time,PA,22,2560.0
81,Part-time,WA,22,3520.0
82,Contract,MD,21,5600.0
83,Full-time,ME,19,8333.0
84,Other,NY,19,9106.0
85,Full-time,MT,18,3200.0
86,Full-time,WY,18,3680.0
87,Contract,OR,17,4320.0
88,Part-time,SC,17,3360.0
89,Internship,CA,16,2720.0
90,Part-time,AZ,16,2880.0
91,Temporary,NY,16,4320.0
92,Contract,TN,15,3360.0
93,Contract,WI,15,7840.0
94,Full-time,AK,15,4000.0
95,Part-time,AK,15,2880.0
96,Contract,CT,14,6560.0
97,Contract,SC,14,4320.0
98,Part-time,IA,14,2400.0
99,Part-time,UT,14,2400.0
100,Temporary,CA,14,6186.0
101,Part-time,AL,11,2240.0
102,Part-time,MO,11,2240.0
103,Part-time,NV,11,2400.0
104,Temporary,TX,10,4000.0
105,Contract,IA,9,3680.0
106,Contract,NV,9,2720.0
107,Part-time,IN,9,2880.0
108,Part-time,KY,9,2240.0
109,Temporary,FL,9,3840.0
110,Contract,KS,8,3200.0
111,Contract,OK,8,5120.0
112,Full-time,VT,8,2720.0
113,Internship,AR,8,
114,Part-time,CT,8,2400.0
115,Part-time,MS,8,1760.0
116,Part-time,OK,8,2240.0
117,Part-time,OR,8,4160.0
118,Part-time,TN,8,2560.0
119,Part-time,WI,8,2500.0
120,Contract,DC,7,4800.0
121,Internship,FL,7,3360.0
122,Part-time,AR,7,2240.0
123,Part-time,DC,7,11030.0
124,Contract,KY,6,4800.0
125,Contract,RI,6,3840.0
126,Internship,NC,6,4960.0
127,Internship,NY,6,3360.0
128,Part-time,KS,6,2400.0
129,Contract,AR,5,3040.0
130,Contract,LA,5,6400.0
131,Contract,UT,5,7840.0
132,Internship,IL,5,
133,Internship,TX,5,
134,Temporary,NJ,5,4160.0
135,Temporary,WA,5,6720.0
136,Contract,AL,4,8750.0
137,Contract,DE,4,2400.0
138,Contract,MS,4,5120.0
139,Contract,VT,4,
140,Internship,MO,4,1920.0
141,Internship,VA,4,9962.0
142,Internship,WA,4,3840.0
143,Part-time,ID,4,
144,Part-time,LA,4,
145,Part-time,ND,4,2400.0
146,Part-time,NM,4,2400.0
147,Part-time,SD,4,2240.0
148,Part-time,WV,4,
149,Temporary,GA,4,
150,Temporary,OH,4,3333.0
151,Contract,ID,3,12000.0
152,Contract,NE,3,3520.0
153,Contract,NM,3,2400.0
154,Contract,WY,3,7520.0
155,Internship,AL,3,1920.0
156,Internship,GA,3,3360.0
157,Internship,NJ,3,2400.0
158,Other,NJ,3,
159,Other,PA,3,5920.0
160,Part-time,DE,3,
161,Part-time,HI,3,3520.0
162,Part-time,NE,3,
163,Temporary,DC,3,
164,Temporary,LA,3,
165,Temporary,TN,3,
166,Contract,MT,2,3520.0
167,Contract,ND,2,
168,Contract,NH,2,
169,Internship,MD,2,4960.0
170,Internship,MI,2,
171,Internship,OH,2,
172,Internship,UT,2,
173,Internship,WI,2,3520.0
174,Other,CA,2,3040.0
175,Other,KS,2,
176,Other,OK,2,
177,Temporary,CO,2,
178,Temporary,DE,2,
179,Temporary,IL,2,
180,Temporary,IN,2,
181,Temporary,MI,2,2400.0
182,Temporary,MT,2,
183,Temporary,NC,2,
184,Temporary,PA,2,
185,Temporary,UT,2,
186,Temporary,WI,2,
187,Contract,AK,1,
188,Contract,ME,1,8960.0
189,Contract,WV,1,5833.0
190,Internship,CO,1,
191,Internship,CT,1,
192,Internship,DC,1,2880.0
193,Internship,IA,1,3360.0
194,Internship,IN,1,
195,Internship,KS,1,
196,Internship,MA,1,
197,Internship,PA,1,
198,Internship,TN,1,
199,Internship,WV,1,1583.0
200,Other,AL,1,
201,Other,CO,1,
202,Other,CT,1,
203,Other,DC,1,
204,Other,FL,1,6080.0
205,Other,IL,1,
206,Other,MI,1,
207,Other,MN,1,4166.0
208,Other,NE,1,
209,Other,NV,1,
210,Other,WA,1,
211,Part-time,ME,1,
212,Part-time,VT,1,
213,Temporary,AL,1,
214,Temporary,AZ,1,
215,Temporary,ID,1,
216,Temporary,MA,1,3520.0
217,Temporary,MD,1,3040.0
218,Temporary,MO,1,
219,Temporary,NE,1,
220,Temporary,NH,1,
221,Temporary,NM,1,
222,Temporary,NV,1,
223,Temporary,OK,1,1920.0
224,Temporary,SD,1,2080.0
225,Temporary,VA,1,3520.0
226,Volunteer,GA,1,
227,Volunteer,NC,1,
228,Volunteer,OR,1,
