,med_salary,formatted_work_type
0,3291,Full-time
1,8000,Part-time
2,12000,Contract
3,5416,Contract
4,11234,Full-time
5,5120,Full-time
6,5617,Full-time
7,5617,Full-time
8,8688,Full-time
9,2720,Internship
10,2080,Full-time
11,14583,Full-time
12,3520,Full-time
13,3360,Contract
14,5600,Full-time
15,7220,Full-time
16,6541,Full-time
17,3541,Full-time
18,5120,Full-time
19,7291,Full-time
20,4800,Full-time
21,3958,Full-time
22,2880,Part-time
23,5416,Full-time
24,8750,Full-time
25,7916,Full-time
26,5208,Full-time
27,6041,Full-time
28,3200,Part-time
29,2880,Full-time
30,3200,Full-time
31,7229,Full-time
32,3520,Part-time
33,5000,Full-time
34,22916,Full-time
35,5280,Full-time
36,6125,Full-time
37,10720,Contract
38,4583,Full-time
39,4160,Contract
40,15833,Full-time
41,15415,Full-time
42,4583,Full-time
43,10,Contract
44,13541,Full-time
45,8320,Contract
46,8333,Full-time
47,1920,Internship
48,1920,Full-time
49,1920,Full-time
50,3200,Full-time
51,6291,Full-time
52,7500,Full-time
53,5833,Full-time
54,6016,Full-time
55,3333,Full-time
56,5000,Full-time
57,4166,Full-time
58,5708,Full-time
59,5833,Full-time
60,13208,Full-time
61,4375,Full-time
62,6041,Full-time
63,16666,Full-time
64,5833,Full-time
65,5833,Full-time
66,8158,Full-time
67,6250,Full-time
68,8158,Full-time
69,4583,Full-time
70,8750,Full-time
71,7083,Full-time
72,9583,Full-time
73,19791,Full-time
74,9375,Full-time
75,4583,Full-time
76,3040,Full-time
77,3200,Full-time
78,5833,Full-time
79,7040,Contract
80,8539,Full-time
81,8539,Full-time
82,5125,Full-time
83,3458,Full-time
84,12000,Contract
85,3680,Full-time
86,2400,Full-time
87,6875,Full-time
88,22916,Full-time
89,10000,Full-time
90,4176,Full-time
91,5120,Contract
92,3680,Full-time
93,6666,Full-time
94,8480,Contract
95,11666,Full-time
96,5135,Full-time
97,6250,Full-time
98,5833,Full-time
99,7301,Full-time
100,5120,Full-time
101,7840,Full-time
102,5208,Full-time
103,4000,Full-time
104,5375,Full-time
105,5083,Full-time
106,5920,Contract
107,9583,Full-time
108,3360,Full-time
109,8333,Full-time
110,10720,Full-time
111,7040,Full-time
112,3666,Full-time
113,6250,Full-time
114,7083,Full-time
115,4320,Full-time
116,11250,Full-time
117,4583,Full-time
118,9791,Full-time
119,3680,Full-time
120,9166,Contract
121,1,Full-time
122,8750,Full-time
123,3840,Temporary
124,2400,Full-time
125,10000,Full-time
126,5208,Full-time
127,8480,Contract
128,9416,Full-time
129,2560,Contract
130,9375,Full-time
131,8750,Full-time
132,5416,Full-time
133,5500,Full-time
134,11962,Full-time
135,12500,Full-time
136,9166,Full-time
137,2720,Full-time
138,8125,Full-time
139,3520,Part-time
140,11666,Full-time
141,4320,Full-time
142,7092,Full-time
143,3750,Full-time
144,16666,Full-time
145,4000,Full-time
146,10416,Full-time
147,6875,Full-time
148,3840,Contract
149,6880,Contract
150,9166,Full-time
151,10000,Full-time
152,11200,Contract
153,13541,Full-time
154,16875,Full-time
155,16000,Contract
156,8750,Full-time
157,9791,Full-time
158,3200,Contract
159,5416,Full-time
160,3520,Contract
161,9600,Contract
162,6875,Full-time
163,13138,Full-time
164,5600,Contract
165,4000,Full-time
166,3,Contract
167,4000,Contract
168,6875,Full-time
169,9920,Contract
170,11666,Full-time
171,5208,Full-time
172,9375,Full-time
173,9375,Full-time
174,10833,Full-time
175,12500,Full-time
176,4583,Full-time
177,3680,Full-time
178,6666,Full-time
179,9920,Contract
180,6666,Full-time
181,9166,Full-time
182,8958,Full-time
183,9600,Contract
184,8125,Full-time
185,8320,Contract
186,1,Temporary
187,8750,Full-time
188,5000,Full-time
189,7845,Full-time
190,3520,Contract
191,4160,Full-time
192,8125,Full-time
193,7680,Contract
194,5000,Full-time
195,9440,Contract
196,4480,Contract
197,17708,Full-time
198,10416,Full-time
199,4160,Full-time
200,14166,Full-time
201,7917,Full-time
202,12083,Full-time
203,8541,Full-time
204,5625,Full-time
205,4960,Contract
206,8753,Full-time
207,5416,Full-time
208,16666,Full-time
209,8320,Contract
210,8541,Full-time
211,7500,Full-time
212,4960,Contract
213,5000,Full-time
214,5000,Full-time
215,4800,Contract
216,6720,Full-time
217,10416,Full-time
218,4583,Full-time
219,5416,Full-time
220,3041,Full-time
221,3520,Temporary
222,8541,Full-time
223,10875,Full-time
224,13515,Full-time
225,12500,Full-time
226,10405,Full-time
227,12500,Full-time
228,17916,Full-time
229,11458,Full-time
230,6666,Full-time
231,3680,Full-time
232,6250,Full-time
233,15000,Full-time
234,12000,Full-time
235,9280,Full-time
236,9375,Full-time
237,5000,Contract
238,5833,Full-time
239,7500,Full-time
240,7520,Full-time
241,6666,Full-time
242,4541,Full-time
243,6212,Full-time
244,11250,Full-time
245,12916,Full-time
246,8480,Full-time
247,15680,Contract
248,6250,Full-time
249,4000,Full-time
250,13120,Full-time
251,7040,Contract
252,7416,Contract
253,7360,Contract
254,15360,Contract
255,3520,Contract
256,7083,Contract
257,7291,Full-time
258,2880,Contract
259,9375,Full-time
260,1929,Part-time
261,36000,Full-time
262,6354,Full-time
263,12500,Full-time
264,9920,Temporary
265,10720,Contract
266,4480,Full-time
267,6666,Full-time
268,5833,Full-time
269,10416,Full-time
270,16000,Contract
271,14720,Contract
272,5000,Full-time
273,11700,Full-time
274,6041,Full-time
275,3360,Contract
276,4000,Full-time
277,11200,Contract
278,3680,Full-time
279,8458,Full-time
280,14583,Full-time
281,12500,Full-time
282,15625,Full-time
283,9375,Full-time
284,11520,Full-time
285,2880,Contract
286,4500,Full-time
287,12480,Contract
288,11041,Full-time
289,3680,Full-time
290,9600,Contract
291,15000,Full-time
292,4583,Full-time
293,10240,Contract
294,3200,Part-time
295,3840,Full-time
296,6720,Contract
297,3200,Full-time
298,3520,Full-time
299,6250,Full-time
300,6458,Full-time
301,9791,Full-time
302,9166,Full-time
303,7916,Full-time
304,8800,Contract
305,4500,Full-time
306,4166,Full-time
307,12500,Full-time
308,4480,Contract
309,5416,Full-time
310,2240,Part-time
311,6400,Contract
312,4960,Full-time
313,4000,Temporary
314,4000,Full-time
315,6666,Full-time
316,12500,Full-time
317,8333,Full-time
318,20833,Full-time
319,5833,Full-time
320,5416,Full-time
321,5625,Full-time
322,5000,Full-time
323,7680,Contract
324,12083,Full-time
325,10000,Contract
326,6666,Full-time
327,6080,Full-time
328,4800,Full-time
329,13120,Contract
330,2720,Contract
331,9760,Contract
332,6720,Contract
333,12916,Full-time
334,6250,Full-time
335,5000,Full-time
336,6041,Full-time
337,4960,Contract
338,13333,Full-time
339,12000,Contract
340,3360,Full-time
341,4640,Full-time
342,3360,Full-time
343,4960,Contract
344,3840,Full-time
345,7504,Full-time
346,8320,Contract
347,10400,Full-time
348,5000,Full-time
349,8958,Full-time
350,12500,Full-time
351,12500,Full-time
352,5120,Full-time
353,5208,Full-time
354,5416,Full-time
355,7200,Contract
356,5187,Full-time
357,8624,Full-time
358,6400,Contract
359,5416,Full-time
360,9791,Full-time
361,10833,Full-time
362,15040,Contract
363,9791,Full-time
364,4375,Full-time
365,5416,Full-time
366,9120,Contract
367,11520,Contract
368,11138,Full-time
369,5208,Full-time
370,4320,Full-time
371,8333,Full-time
372,16666,Contract
373,9375,Full-time
374,5000,Full-time
375,15833,Full-time
376,4960,Contract
377,8800,Contract
378,16875,Full-time
379,8640,Contract
380,7083,Full-time
381,4640,Contract
382,6250,Full-time
383,6270,Full-time
384,3958,Full-time
385,8,Full-time
386,16250,Full-time
387,7040,Contract
388,11200,Full-time
389,6666,Full-time
390,2240,Part-time
391,2720,Contract
392,8160,Contract
393,3958,Temporary
394,2400,Part-time
395,4960,Full-time
396,15479,Full-time
