,med_salary,formatted_experience_level
0,3291,
1,8000,
2,12000,
3,5416,Associate
4,11234,Mid-Senior level
5,5120,Mid-Senior level
6,5617,Entry level
7,5617,Entry level
8,8688,Mid-Senior level
9,2720,
10,2080,
11,14583,Mid-Senior level
12,3520,
13,3360,
14,5600,
15,7220,
16,6541,
17,3541,
18,5120,
19,7291,
20,4800,
21,3958,Entry level
22,2880,
23,5416,Executive
24,8750,
25,7916,
26,5208,
27,6041,
28,3200,
29,2880,Associate
30,3200,
31,7229,
32,3520,
33,5000,
34,22916,
35,5280,
36,6125,
37,10720,
38,4583,
39,4160,
40,15833,Director
41,15415,
42,4583,
43,10,Executive
44,13541,
45,8320,
46,8333,Mid-Senior level
47,1920,
48,1920,
49,1920,
50,3200,
51,6291,
52,7500,
53,5833,
54,6016,
55,3333,
56,5000,
57,4166,
58,5708,
59,5833,
60,13208,Mid-Senior level
61,4375,
62,6041,
63,16666,
64,5833,
65,5833,
66,8158,
67,6250,
68,8158,
69,4583,
70,8750,Mid-Senior level
71,7083,
72,9583,
73,19791,
74,9375,Mid-Senior level
75,4583,
76,3040,
77,3200,
78,5833,
79,7040,Associate
80,8539,
81,8539,
82,5125,
83,3458,Entry level
84,12000,Mid-Senior level
85,3680,Entry level
86,2400,
87,6875,
88,22916,Executive
89,10000,
90,4176,Mid-Senior level
91,5120,
92,3680,Mid-Senior level
93,6666,
94,8480,
95,11666,
96,5135,Entry level
97,6250,
98,5833,
99,7301,
100,5120,
101,7840,Associate
102,5208,
103,4000,
104,5375,
105,5083,
106,5920,
107,9583,
108,3360,
109,8333,
110,10720,Director
111,7040,Mid-Senior level
112,3666,
113,6250,
114,7083,
115,4320,Entry level
116,11250,Mid-Senior level
117,4583,
118,9791,Mid-Senior level
119,3680,Mid-Senior level
120,9166,
121,1,Entry level
122,8750,
123,3840,
124,2400,Entry level
125,10000,Mid-Senior level
126,5208,
127,8480,Mid-Senior level
128,9416,Mid-Senior level
129,2560,
130,9375,
131,8750,Associate
132,5416,
133,5500,Entry level
134,11962,Director
135,12500,Mid-Senior level
136,9166,Mid-Senior level
137,2720,Associate
138,8125,
139,3520,
140,11666,Mid-Senior level
141,4320,
142,7092,
143,3750,
144,16666,Director
145,4000,
146,10416,
147,6875,Mid-Senior level
148,3840,Mid-Senior level
149,6880,
150,9166,
151,10000,Mid-Senior level
152,11200,Mid-Senior level
153,13541,Mid-Senior level
154,16875,
155,16000,Mid-Senior level
156,8750,Mid-Senior level
157,9791,Mid-Senior level
158,3200,Entry level
159,5416,
160,3520,Associate
161,9600,
162,6875,Associate
163,13138,Mid-Senior level
164,5600,Associate
165,4000,Mid-Senior level
166,3,Associate
167,4000,Associate
168,6875,Mid-Senior level
169,9920,Mid-Senior level
170,11666,Mid-Senior level
171,5208,
172,9375,
173,9375,Mid-Senior level
174,10833,Mid-Senior level
175,12500,Mid-Senior level
176,4583,Mid-Senior level
177,3680,
178,6666,
179,9920,
180,6666,Entry level
181,9166,Associate
182,8958,Director
183,9600,
184,8125,Mid-Senior level
185,8320,Mid-Senior level
186,1,Entry level
187,8750,
188,5000,Associate
189,7845,
190,3520,Entry level
191,4160,Associate
192,8125,Mid-Senior level
193,7680,Mid-Senior level
194,5000,Mid-Senior level
195,9440,Associate
196,4480,Entry level
197,17708,Mid-Senior level
198,10416,Associate
199,4160,Entry level
200,14166,Director
201,7917,
202,12083,Associate
203,8541,
204,5625,
205,4960,Associate
206,8753,Mid-Senior level
207,5416,Mid-Senior level
208,16666,Mid-Senior level
209,8320,
210,8541,
211,7500,
212,4960,Associate
213,5000,
214,5000,Associate
215,4800,Mid-Senior level
216,6720,Associate
217,10416,Director
218,4583,Entry level
219,5416,Mid-Senior level
220,3041,
221,3520,
222,8541,Executive
223,10875,
224,13515,Director
225,12500,
226,10405,Associate
227,12500,Associate
228,17916,Director
229,11458,
230,6666,
231,3680,Entry level
232,6250,
233,15000,Director
234,12000,Mid-Senior level
235,9280,
236,9375,Mid-Senior level
237,5000,
238,5833,
239,7500,
240,7520,Mid-Senior level
241,6666,Mid-Senior level
242,4541,
243,6212,Associate
244,11250,Mid-Senior level
245,12916,Mid-Senior level
246,8480,Mid-Senior level
247,15680,Associate
248,6250,
249,4000,Entry level
250,13120,Mid-Senior level
251,7040,Mid-Senior level
252,7416,Mid-Senior level
253,7360,
254,15360,Associate
255,3520,Entry level
256,7083,Mid-Senior level
257,7291,Mid-Senior level
258,2880,Associate
259,9375,Mid-Senior level
260,1929,
261,36000,Mid-Senior level
262,6354,Mid-Senior level
263,12500,Mid-Senior level
264,9920,Mid-Senior level
265,10720,
266,4480,
267,6666,
268,5833,
269,10416,Mid-Senior level
270,16000,Mid-Senior level
271,14720,Mid-Senior level
272,5000,
273,11700,Mid-Senior level
274,6041,Associate
275,3360,Associate
276,4000,
277,11200,Mid-Senior level
278,3680,Entry level
279,8458,
280,14583,Mid-Senior level
281,12500,Mid-Senior level
282,15625,Mid-Senior level
283,9375,Mid-Senior level
284,11520,Mid-Senior level
285,2880,Mid-Senior level
286,4500,
287,12480,Mid-Senior level
288,11041,Associate
289,3680,
290,9600,
291,15000,Mid-Senior level
292,4583,Associate
293,10240,Mid-Senior level
294,3200,
295,3840,
296,6720,
297,3200,
298,3520,Entry level
299,6250,
300,6458,
301,9791,Director
302,9166,Mid-Senior level
303,7916,
304,8800,Mid-Senior level
305,4500,Associate
306,4166,Entry level
307,12500,Mid-Senior level
308,4480,Associate
309,5416,
310,2240,Internship
311,6400,
312,4960,Mid-Senior level
313,4000,Associate
314,4000,
315,6666,Mid-Senior level
316,12500,Associate
317,8333,
318,20833,Entry level
319,5833,
320,5416,
321,5625,Entry level
322,5000,Mid-Senior level
323,7680,
324,12083,
325,10000,Entry level
326,6666,Associate
327,6080,
328,4800,Entry level
329,13120,Mid-Senior level
330,2720,Associate
331,9760,Associate
332,6720,Associate
333,12916,
334,6250,Entry level
335,5000,
336,6041,
337,4960,Associate
338,13333,Mid-Senior level
339,12000,Mid-Senior level
340,3360,
341,4640,Entry level
342,3360,
343,4960,Mid-Senior level
344,3840,
345,7504,Entry level
346,8320,Mid-Senior level
347,10400,
348,5000,Associate
349,8958,Associate
350,12500,Mid-Senior level
351,12500,
352,5120,
353,5208,
354,5416,
355,7200,Associate
356,5187,
357,8624,
358,6400,Mid-Senior level
359,5416,Entry level
360,9791,
361,10833,
362,15040,Associate
363,9791,Mid-Senior level
364,4375,
365,5416,Associate
366,9120,Mid-Senior level
367,11520,Mid-Senior level
368,11138,Mid-Senior level
369,5208,Executive
370,4320,
371,8333,Mid-Senior level
372,16666,
373,9375,Mid-Senior level
374,5000,Mid-Senior level
375,15833,Mid-Senior level
376,4960,Associate
377,8800,Mid-Senior level
378,16875,Associate
379,8640,Mid-Senior level
380,7083,Associate
381,4640,Mid-Senior level
382,6250,
383,6270,Associate
384,3958,
385,8,Mid-Senior level
386,16250,Associate
387,7040,Associate
388,11200,Mid-Senior level
389,6666,Associate
390,2240,Internship
391,2720,Mid-Senior level
392,8160,
393,3958,Associate
394,2400,
395,4960,
396,15479,Mid-Senior level
397,4000,
398,4800,
399,4458,Entry level
400,5120,Associate
401,6880,Mid-Senior level
402,11200,
403,4666,Associate
404,3040,Entry level
405,8125,
406,3360,Associate
407,3840,Associate
408,6875,Mid-Senior level
409,15625,Director
410,14583,Director
411,4791,
412,10416,Mid-Senior level
413,5000,
414,8750,
415,7708,Mid-Senior level
416,5187,
417,4583,Associate
418,24000,Director
419,4375,
420,12800,
421,4320,Entry level
422,10625,Mid-Senior level
423,7500,
424,8333,Director
425,5280,Associate
426,4583,Mid-Senior level
427,10400,
428,14166,Mid-Senior level
429,8750,Entry level
430,13958,Entry level
431,3520,Entry level
432,8333,
433,6400,Associate
434,11111,Associate
435,11200,Mid-Senior level
436,4000,Entry level
437,7520,
438,11458,Director
439,8320,Associate
440,7083,Mid-Senior level
441,4000,Associate
442,3360,
443,8333,Mid-Senior level
444,2880,Entry level
445,6875,Mid-Senior level
446,5920,Mid-Senior level
447,9920,Mid-Senior level
448,12291,Mid-Senior level
449,6041,Mid-Senior level
450,13541,Mid-Senior level
451,11200,
452,7083,
453,3520,
454,7500,
455,11041,Director
456,9791,Mid-Senior level
457,9791,Mid-Senior level
458,4160,Entry level
459,9791,Mid-Senior level
460,4640,
461,4166,Associate
462,7708,
463,7500,
464,7458,Mid-Senior level
465,8333,Mid-Senior level
466,6875,Mid-Senior level
467,8750,Mid-Senior level
468,4291,Entry level
469,6458,Associate
470,5120,Associate
471,3541,Associate
472,3958,Associate
473,6104,
474,16875,Associate
475,5416,
476,9600,Mid-Senior level
477,7708,Associate
478,4461,
479,10833,Mid-Senior level
480,7291,Associate
481,6541,Associate
482,5625,Mid-Senior level
483,12500,
484,4160,Associate
485,7500,Mid-Senior level
486,3680,Entry level
487,10416,Mid-Senior level
488,12250,Mid-Senior level
489,6666,Associate
