,industry_name,state,count,med,sum_count,avg_med,sum_med
0,IT Services and IT Consulting,,365,9920.0,1941,7804.0,311438.0
1,IT Services and IT Consulting,CA,207,8320.0,1941,7804.0,311438.0
2,IT Services and IT Consulting,TX,185,8333.0,1941,7804.0,311438.0
3,IT Services and IT Consulting,VA,119,9920.0,1941,7804.0,311438.0
4,IT Services and IT Consulting,WA,88,9583.0,1941,7804.0,311438.0
5,IT Services and IT Consulting,NY,85,9600.0,1941,7804.0,311438.0
6,IT Services and IT Consulting,FL,78,9791.0,1941,7804.0,311438.0
7,IT Services and IT Consulting,NJ,69,4160.0,1941,7804.0,311438.0
8,IT Services and IT Consulting,GA,62,9600.0,1941,7804.0,311438.0
9,IT Services and IT Consulting,IL,56,8750.0,1941,7804.0,311438.0
10,IT Services and IT Consulting,PA,52,8750.0,1941,7804.0,311438.0
11,IT Services and IT Consulting,OH,44,4640.0,1941,7804.0,311438.0
12,IT Services and IT Consulting,MD,43,9962.0,1941,7804.0,311438.0
13,IT Services and IT Consulting,AZ,38,5416.0,1941,7804.0,311438.0
14,IT Services and IT Consulting,MI,36,8800.0,1941,7804.0,311438.0
15,IT Services and IT Consulting,NC,35,9962.0,1941,7804.0,311438.0
16,IT Services and IT Consulting,MO,35,9333.0,1941,7804.0,311438.0
17,IT Services and IT Consulting,MA,30,3840.0,1941,7804.0,311438.0
18,IT Services and IT Consulting,CO,30,5208.0,1941,7804.0,311438.0
19,IT Services and IT Consulting,TN,22,8366.0,1941,7804.0,311438.0
20,IT Services and IT Consulting,DC,22,7975.0,1941,7804.0,311438.0
21,IT Services and IT Consulting,SC,21,7291.0,1941,7804.0,311438.0
22,IT Services and IT Consulting,IN,20,7040.0,1941,7804.0,311438.0
23,IT Services and IT Consulting,MS,16,7804.0,1941,7804.0,311438.0
24,IT Services and IT Consulting,CT,16,2880.0,1941,7804.0,311438.0
25,IT Services and IT Consulting,MN,15,4480.0,1941,7804.0,311438.0
26,IT Services and IT Consulting,UT,14,2400.0,1941,7804.0,311438.0
27,IT Services and IT Consulting,OR,12,5416.0,1941,7804.0,311438.0
28,IT Services and IT Consulting,DE,12,,1941,7804.0,311438.0
29,IT Services and IT Consulting,WI,10,9920.0,1941,7804.0,311438.0
30,IT Services and IT Consulting,KY,9,4833.0,1941,7804.0,311438.0
31,IT Services and IT Consulting,IA,9,4000.0,1941,7804.0,311438.0
32,IT Services and IT Consulting,AL,9,,1941,7804.0,311438.0
33,IT Services and IT Consulting,NV,8,2720.0,1941,7804.0,311438.0
34,IT Services and IT Consulting,OK,7,3520.0,1941,7804.0,311438.0
35,IT Services and IT Consulting,KS,7,9600.0,1941,7804.0,311438.0
36,IT Services and IT Consulting,AR,7,2240.0,1941,7804.0,311438.0
37,IT Services and IT Consulting,RI,6,5000.0,1941,7804.0,311438.0
38,IT Services and IT Consulting,NM,6,7916.0,1941,7804.0,311438.0
39,IT Services and IT Consulting,NH,6,2720.0,1941,7804.0,311438.0
40,IT Services and IT Consulting,VT,4,2720.0,1941,7804.0,311438.0
41,IT Services and IT Consulting,SD,4,2240.0,1941,7804.0,311438.0
42,IT Services and IT Consulting,ME,4,6375.0,1941,7804.0,311438.0
43,IT Services and IT Consulting,ID,4,12000.0,1941,7804.0,311438.0
44,IT Services and IT Consulting,NE,3,,1941,7804.0,311438.0
45,IT Services and IT Consulting,ND,3,7908.0,1941,7804.0,311438.0
46,IT Services and IT Consulting,LA,3,16666.0,1941,7804.0,311438.0
47,IT Services and IT Consulting,MT,2,3520.0,1941,7804.0,311438.0
48,IT Services and IT Consulting,HI,2,,1941,7804.0,311438.0
49,IT Services and IT Consulting,WY,1,,1941,7804.0,311438.0
50,Hospitals and Health Care,CA,176,7520.0,1607,6080.0,251893.0
51,Hospitals and Health Care,NY,147,7083.0,1607,6080.0,251893.0
52,Hospitals and Health Care,,140,7520.0,1607,6080.0,251893.0
53,Hospitals and Health Care,TX,123,6880.0,1607,6080.0,251893.0
54,Hospitals and Health Care,FL,90,4375.0,1607,6080.0,251893.0
55,Hospitals and Health Care,MA,83,7000.0,1607,6080.0,251893.0
56,Hospitals and Health Care,PA,72,9120.0,1607,6080.0,251893.0
57,Hospitals and Health Care,WA,58,4800.0,1607,6080.0,251893.0
58,Hospitals and Health Care,OH,52,11200.0,1607,6080.0,251893.0
59,Hospitals and Health Care,MI,50,4312.0,1607,6080.0,251893.0
60,Hospitals and Health Care,TN,43,10416.0,1607,6080.0,251893.0
61,Hospitals and Health Care,VA,40,6240.0,1607,6080.0,251893.0
62,Hospitals and Health Care,WI,39,5000.0,1607,6080.0,251893.0
63,Hospitals and Health Care,NC,36,5524.0,1607,6080.0,251893.0
64,Hospitals and Health Care,IL,34,3840.0,1607,6080.0,251893.0
65,Hospitals and Health Care,GA,31,3200.0,1607,6080.0,251893.0
66,Hospitals and Health Care,MD,29,3200.0,1607,6080.0,251893.0
67,Hospitals and Health Care,CT,28,3200.0,1607,6080.0,251893.0
68,Hospitals and Health Care,NJ,27,5500.0,1607,6080.0,251893.0
69,Hospitals and Health Care,AZ,27,3520.0,1607,6080.0,251893.0
70,Hospitals and Health Care,OR,24,6240.0,1607,6080.0,251893.0
71,Hospitals and Health Care,SC,22,8666.0,1607,6080.0,251893.0
72,Hospitals and Health Care,IN,22,4458.0,1607,6080.0,251893.0
73,Hospitals and Health Care,UT,20,4160.0,1607,6080.0,251893.0
74,Hospitals and Health Care,IA,19,,1607,6080.0,251893.0
75,Hospitals and Health Care,MO,18,10416.0,1607,6080.0,251893.0
76,Hospitals and Health Care,NV,17,6080.0,1607,6080.0,251893.0
77,Hospitals and Health Care,KY,16,9891.0,1607,6080.0,251893.0
78,Hospitals and Health Care,CO,16,5920.0,1607,6080.0,251893.0
79,Hospitals and Health Care,MN,15,4166.0,1607,6080.0,251893.0
80,Hospitals and Health Care,LA,14,4122.0,1607,6080.0,251893.0
81,Hospitals and Health Care,WV,11,,1607,6080.0,251893.0
82,Hospitals and Health Care,KS,11,8958.0,1607,6080.0,251893.0
83,Hospitals and Health Care,DE,10,2400.0,1607,6080.0,251893.0
84,Hospitals and Health Care,RI,7,7040.0,1607,6080.0,251893.0
85,Hospitals and Health Care,NE,5,,1607,6080.0,251893.0
86,Hospitals and Health Care,OK,4,1920.0,1607,6080.0,251893.0
87,Hospitals and Health Care,ID,4,7840.0,1607,6080.0,251893.0
88,Hospitals and Health Care,AK,4,7520.0,1607,6080.0,251893.0
89,Hospitals and Health Care,WY,3,4320.0,1607,6080.0,251893.0
90,Hospitals and Health Care,NM,3,7200.0,1607,6080.0,251893.0
91,Hospitals and Health Care,NH,3,3360.0,1607,6080.0,251893.0
92,Hospitals and Health Care,AL,3,,1607,6080.0,251893.0
93,Hospitals and Health Care,ND,2,10833.0,1607,6080.0,251893.0
94,Hospitals and Health Care,MS,2,,1607,6080.0,251893.0
95,Hospitals and Health Care,ME,2,,1607,6080.0,251893.0
96,Hospitals and Health Care,HI,2,6933.0,1607,6080.0,251893.0
97,Hospitals and Health Care,VT,1,,1607,6080.0,251893.0
98,Hospitals and Health Care,SD,1,,1607,6080.0,251893.0
99,Hospitals and Health Care,DC,1,,1607,6080.0,251893.0
100,Retail,CA,128,3520.0,1081,3040.0,119381.0
101,Retail,TX,99,3040.0,1081,3040.0,119381.0
102,Retail,NY,68,3680.0,1081,3040.0,119381.0
103,Retail,FL,66,3520.0,1081,3040.0,119381.0
104,Retail,MN,55,2880.0,1081,3040.0,119381.0
105,Retail,IL,47,2240.0,1081,3040.0,119381.0
106,Retail,,43,10291.0,1081,3040.0,119381.0
107,Retail,NC,39,2240.0,1081,3040.0,119381.0
108,Retail,NJ,34,6666.0,1081,3040.0,119381.0
109,Retail,MD,32,2080.0,1081,3040.0,119381.0
110,Retail,GA,31,2720.0,1081,3040.0,119381.0
111,Retail,WA,29,3360.0,1081,3040.0,119381.0
112,Retail,VA,28,4000.0,1081,3040.0,119381.0
113,Retail,SC,28,8666.0,1081,3040.0,119381.0
114,Retail,MI,28,4640.0,1081,3040.0,119381.0
115,Retail,CO,27,3200.0,1081,3040.0,119381.0
116,Retail,PA,24,2240.0,1081,3040.0,119381.0
117,Retail,OH,23,6400.0,1081,3040.0,119381.0
118,Retail,MA,23,3360.0,1081,3040.0,119381.0
119,Retail,TN,19,2880.0,1081,3040.0,119381.0
120,Retail,UT,16,3040.0,1081,3040.0,119381.0
121,Retail,MO,15,2080.0,1081,3040.0,119381.0
122,Retail,AL,14,,1081,3040.0,119381.0
123,Retail,AK,14,,1081,3040.0,119381.0
124,Retail,WI,13,,1081,3040.0,119381.0
125,Retail,IN,12,2560.0,1081,3040.0,119381.0
126,Retail,AZ,12,4160.0,1081,3040.0,119381.0
127,Retail,CT,11,2720.0,1081,3040.0,119381.0
128,Retail,AR,11,,1081,3040.0,119381.0
129,Retail,MS,10,1760.0,1081,3040.0,119381.0
130,Retail,NV,8,2400.0,1081,3040.0,119381.0
131,Retail,LA,8,,1081,3040.0,119381.0
132,Retail,OK,7,2080.0,1081,3040.0,119381.0
