,industry_name,state,count,med,sum_count,avg_med,sum_med
0,Book and Periodical Publishing,WA,2,16765.0,172,16765.0,346758.0
1,Book and Periodical Publishing,VA,9,16765.0,172,16765.0,346758.0
2,Book and Periodical Publishing,TX,14,16765.0,172,16765.0,346758.0
3,Book and Periodical Publishing,TN,3,16765.0,172,16765.0,346758.0
4,Book and Periodical Publishing,PA,4,16765.0,172,16765.0,346758.0
5,Book and Periodical Publishing,NY,6,16765.0,172,16765.0,346758.0
6,Book and Periodical Publishing,NJ,8,16765.0,172,16765.0,346758.0
7,Book and Periodical Publishing,NH,2,16765.0,172,16765.0,346758.0
8,Book and Periodical Publishing,MN,5,16765.0,172,16765.0,346758.0
9,Book and Periodical Publishing,MI,5,16765.0,172,16765.0,346758.0
10,Book and Periodical Publishing,MD,5,16765.0,172,16765.0,346758.0
11,Book and Periodical Publishing,MA,7,16765.0,172,16765.0,346758.0
12,Book and Periodical Publishing,IN,5,16765.0,172,16765.0,346758.0
13,Book and Periodical Publishing,IL,6,16765.0,172,16765.0,346758.0
14,Book and Periodical Publishing,HI,1,16765.0,172,16765.0,346758.0
15,Book and Periodical Publishing,GA,3,16765.0,172,16765.0,346758.0
16,Book and Periodical Publishing,FL,10,16765.0,172,16765.0,346758.0
17,Book and Periodical Publishing,CT,2,16765.0,172,16765.0,346758.0
18,Book and Periodical Publishing,CO,4,16765.0,172,16765.0,346758.0
19,Book and Periodical Publishing,CA,30,16765.0,172,16765.0,346758.0
20,Book and Periodical Publishing,OH,11,8125.0,172,16765.0,346758.0
21,Book and Periodical Publishing,,3,3333.0,172,16765.0,346758.0
22,Book and Periodical Publishing,WI,4,,172,16765.0,346758.0
23,Book and Periodical Publishing,OR,1,,172,16765.0,346758.0
24,Book and Periodical Publishing,OK,2,,172,16765.0,346758.0
25,Book and Periodical Publishing,NV,4,,172,16765.0,346758.0
26,Book and Periodical Publishing,NM,1,,172,16765.0,346758.0
27,Book and Periodical Publishing,NE,1,,172,16765.0,346758.0
28,Book and Periodical Publishing,NC,3,,172,16765.0,346758.0
29,Book and Periodical Publishing,MO,1,,172,16765.0,346758.0
30,Book and Periodical Publishing,KY,2,,172,16765.0,346758.0
31,Book and Periodical Publishing,KS,2,,172,16765.0,346758.0
32,Book and Periodical Publishing,DC,1,,172,16765.0,346758.0
33,Book and Periodical Publishing,AZ,5,,172,16765.0,346758.0
34,Retail Health and Personal Care Products,NJ,5,16625.0,9,16625.0,16625.0
35,Retail Health and Personal Care Products,PA,1,,9,16625.0,16625.0
36,Retail Health and Personal Care Products,,3,,9,16625.0,16625.0
37,Capital Markets,NY,3,31250.0,14,15833.0,84165.0
38,Capital Markets,NJ,1,20833.0,14,15833.0,84165.0
39,Capital Markets,IL,4,15833.0,14,15833.0,84165.0
40,Capital Markets,FL,2,8541.0,14,15833.0,84165.0
41,Capital Markets,,2,7708.0,14,15833.0,84165.0
42,Capital Markets,VA,1,,14,15833.0,84165.0
43,Capital Markets,MN,1,,14,15833.0,84165.0
44,Public Policy Offices,DC,3,15484.0,6,15484.0,41988.0
45,Public Policy Offices,CA,2,15484.0,6,15484.0,41988.0
46,Public Policy Offices,NC,1,11020.0,6,15484.0,41988.0
47,Computer Networking Products,NY,2,25308.0,40,14108.0,211164.0
48,Computer Networking Products,CT,2,25308.0,40,14108.0,211164.0
49,Computer Networking Products,IA,1,22654.0,40,14108.0,211164.0
50,Computer Networking Products,CO,2,18170.0,40,14108.0,211164.0
51,Computer Networking Products,,5,18079.0,40,14108.0,211164.0
52,Computer Networking Products,WI,1,16691.0,40,14108.0,211164.0
53,Computer Networking Products,TX,8,16691.0,40,14108.0,211164.0
54,Computer Networking Products,CA,8,14108.0,40,14108.0,211164.0
55,Computer Networking Products,MA,2,12500.0,40,14108.0,211164.0
56,Computer Networking Products,NC,1,11391.0,40,14108.0,211164.0
57,Computer Networking Products,IN,1,10800.0,40,14108.0,211164.0
58,Computer Networking Products,FL,2,9583.0,40,14108.0,211164.0
59,Computer Networking Products,MI,1,6041.0,40,14108.0,211164.0
60,Computer Networking Products,WA,2,3840.0,40,14108.0,211164.0
61,Computer Networking Products,MD,1,,40,14108.0,211164.0
62,Computer Networking Products,KS,1,,40,14108.0,211164.0
63,Electric Power Generation,NY,1,13054.0,1,13054.0,13054.0
64,Artists and Writers,,1,12916.0,3,12000.0,36166.0
65,Artists and Writers,TX,1,12000.0,3,12000.0,36166.0
66,Artists and Writers,CA,1,11250.0,3,12000.0,36166.0
67,Information Services,UT,1,22416.0,179,11875.0,272653.0
68,Information Services,OR,1,22416.0,179,11875.0,272653.0
69,Information Services,IL,7,15958.0,179,11875.0,272653.0
70,Information Services,GA,8,15958.0,179,11875.0,272653.0
71,Information Services,WA,18,15250.0,179,11875.0,272653.0
72,Information Services,CA,43,14708.0,179,11875.0,272653.0
73,Information Services,TX,21,14458.0,179,11875.0,272653.0
74,Information Services,NY,13,13625.0,179,11875.0,272653.0
75,Information Services,NC,3,13625.0,179,11875.0,272653.0
76,Information Services,MA,5,13625.0,179,11875.0,272653.0
77,Information Services,,20,13541.0,179,11875.0,272653.0
78,Information Services,CO,4,12083.0,179,11875.0,272653.0
79,Information Services,DC,1,11875.0,179,11875.0,272653.0
80,Information Services,MO,1,10416.0,179,11875.0,272653.0
81,Information Services,PA,3,9166.0,179,11875.0,272653.0
82,Information Services,VA,5,8151.0,179,11875.0,272653.0
83,Information Services,MD,5,7916.0,179,11875.0,272653.0
84,Information Services,FL,5,7040.0,179,11875.0,272653.0
85,Information Services,OK,1,7000.0,179,11875.0,272653.0
86,Information Services,AL,1,7000.0,179,11875.0,272653.0
87,Information Services,AZ,2,6666.0,179,11875.0,272653.0
88,Information Services,OH,2,3360.0,179,11875.0,272653.0
89,Information Services,MI,2,3200.0,179,11875.0,272653.0
90,Information Services,IA,1,3200.0,179,11875.0,272653.0
91,Information Services,TN,1,,179,11875.0,272653.0
92,Information Services,NJ,1,,179,11875.0,272653.0
93,Information Services,NH,1,,179,11875.0,272653.0
94,Information Services,MN,1,,179,11875.0,272653.0
95,Information Services,KY,1,,179,11875.0,272653.0
96,Information Services,DE,1,,179,11875.0,272653.0
97,Ground Passenger Transportation,WA,1,14250.0,2,11250.0,25500.0
98,Ground Passenger Transportation,CA,1,11250.0,2,11250.0,25500.0
99,Semiconductor Manufacturing,,8,17916.0,93,11083.0,88742.0
100,Semiconductor Manufacturing,WA,2,14583.0,93,11083.0,88742.0
101,Semiconductor Manufacturing,CA,33,11287.0,93,11083.0,88742.0
102,Semiconductor Manufacturing,TX,9,11083.0,93,11083.0,88742.0
103,Semiconductor Manufacturing,MN,1,11083.0,93,11083.0,88742.0
104,Semiconductor Manufacturing,MA,6,9104.0,93,11083.0,88742.0
105,Semiconductor Manufacturing,OR,4,6966.0,93,11083.0,88742.0
106,Semiconductor Manufacturing,AZ,5,3680.0,93,11083.0,88742.0
107,Semiconductor Manufacturing,CO,5,3040.0,93,11083.0,88742.0
108,Semiconductor Manufacturing,WI,3,,93,11083.0,88742.0
109,Semiconductor Manufacturing,NC,1,,93,11083.0,88742.0
110,Semiconductor Manufacturing,MI,1,,93,11083.0,88742.0
111,Semiconductor Manufacturing,ID,9,,93,11083.0,88742.0
112,Semiconductor Manufacturing,GA,2,,93,11083.0,88742.0
113,Semiconductor Manufacturing,CT,4,,93,11083.0,88742.0
114,Spectator Sports,NV,1,13600.0,40,10833.0,74353.0
115,Spectator Sports,TX,4,12000.0,40,10833.0,74353.0
116,Spectator Sports,FL,2,12000.0,40,10833.0,74353.0
117,Spectator Sports,CT,1,11200.0,40,10833.0,74353.0
118,Spectator Sports,NY,3,10833.0,40,10833.0,74353.0
119,Spectator Sports,OR,2,3840.0,40,10833.0,74353.0
120,Spectator Sports,PA,2,3680.0,40,10833.0,74353.0
121,Spectator Sports,AZ,1,3680.0,40,10833.0,74353.0
122,Spectator Sports,CA,3,3520.0,40,10833.0,74353.0
123,Spectator Sports,VA,4,,40,10833.0,74353.0
124,Spectator Sports,OH,1,,40,10833.0,74353.0
125,Spectator Sports,NJ,1,,40,10833.0,74353.0
126,Spectator Sports,NC,2,,40,10833.0,74353.0
127,Spectator Sports,KY,2,,40,10833.0,74353.0
128,Spectator Sports,KS,1,,40,10833.0,74353.0
129,Spectator Sports,IN,2,,40,10833.0,74353.0
130,Spectator Sports,IL,2,,40,10833.0,74353.0
131,Spectator Sports,IA,1,,40,10833.0,74353.0
132,Spectator Sports,AR,1,,40,10833.0,74353.0
133,Spectator Sports,AL,1,,40,10833.0,74353.0
