,title,state,count,med,avg_med,sum_count,sum_med
0,Quantitative Developer,,1,87500.0,87500.0,1,87500.0
1,Criminal Court Clerk,TX,1,83202.0,83202.0,1,83202.0
2,Tech Lead Manager (L6-L8) | Disruptive FinTech,CA,1,72916.0,72916.0,1,72916.0
3,"Chief Software Architect, Trilogy (Remote) - $800,000/year USD",OH,1,66666.0,66666.0,1,66666.0
4,"Distinguished Engineer, Trilogy (Remote) - $800,000/year USD",AZ,1,66666.0,66666.0,1,66666.0
5,Fintech Startup | Tech Lead Manager - Software Engineer,,1,66666.0,66666.0,1,66666.0
6,Head of Sales & Marketing (Healthcare),,1,66666.0,66666.0,1,66666.0
7,"Director of Product, MyBSWHealth",TX,1,62500.0,62500.0,2,125000.0
8,"Director of Product, MyBSWHealth",,1,62500.0,62500.0,2,125000.0
9,"President, Platforms and Software Engineering",CA,1,50000.0,50000.0,1,50000.0
10,Quantitative Prop Trading Firm | Senior Software Engineer,,1,41666.0,41666.0,1,41666.0
11,Faculty Affairs Administrator 2,CA,1,36274.0,36274.0,1,36274.0
12,"Internal Medicine Physician - $350,000/yearly - $500,000/yearly",WI,1,35416.0,35416.0,1,35416.0
13,"Account Manager (Remote) - $400,000/year USD",TX,1,33333.0,33333.0,1,33333.0
14,"Director Data Science, Trilogy (Remote) - $400,000/year USD",NY,1,33333.0,33333.0,1,33333.0
15,"Enterprise Account Executive (Remote) - $400,000/year USD",MN,1,33333.0,33333.0,1,33333.0
16,"Head of AI Engineering, Trilogy (Remote) - $400,000/year USD",FL,1,33333.0,33333.0,1,33333.0
17,Head of Corporate Development & Partnerships,NY,1,33333.0,33333.0,1,33333.0
18,"Vice President Strategy, Trilogy (Remote) - $400,000/year USD",TX,1,33333.0,33333.0,1,33333.0
19,Area Leader,MN,1,30208.0,30208.0,2,60416.0
20,Area Leader,LA,1,30208.0,30208.0,2,60416.0
21,Branch Leader,SC,3,30208.0,30208.0,7,90624.0
22,Branch Leader,LA,3,30208.0,30208.0,7,90624.0
23,Branch Leader,,1,30208.0,30208.0,7,90624.0
24,Senior Labor & Employment Attorney,,1,30208.0,30208.0,1,30208.0
25,Financial Advisor (Training Provided),,1,28583.0,28583.0,1,28583.0
26,Vice Chief -Emergency Department,NY,1,27500.0,27500.0,1,27500.0
27,Business Solutions Manager - Bay Area/Denver/Portland/Seattle,,1,27420.0,27420.0,1,27420.0
28,Business Solutions Manager- Dallas/Austin/Houston/Oklahoma,TX,2,26687.0,26687.0,2,26687.0
29,Head of Growth (NY Platform),NY,1,26458.0,26458.0,1,26458.0
30,Head of People,CA,1,26458.0,26458.0,1,26458.0
