,title,state,count,salary,applies,views,ratio_count_appl,ratio_views_appl,sum_count,avg_salary,avg_applies,avg_views,avg_ratio_count_appl,avg_ratio_views_appl
0,"Manager, Workforce Management (Remote)",,1,12175.0,486.0,2177.0,0.00205761316872428,4.479423868312757,1,12175.0,486.0,2177.0,0.00205761316872428,4.479423868312757
1,Business Operations Manager,,1,15916.0,379.0,2131.0,0.002638522427440633,5.62269129287599,1,15916.0,379.0,2131.0,0.002638522427440633,5.62269129287599
2,Executive Assistant - Global Programs - Non-profit - US Eastern Time Zone Candidates Only,,1,8333.0,554.0,1922.0,0.0018050541516245488,3.4693140794223827,1,8333.0,554.0,1922.0,0.0018050541516245488,3.4693140794223827
3,"Director of Engineering, Growth",,1,24000.0,408.0,1555.0,0.0024509803921568627,3.8112745098039214,1,24000.0,408.0,1555.0,0.0024509803921568627,3.8112745098039214
4,Industry Operations Consultant,,1,4640.0,149.0,1550.0,0.006711409395973154,10.40268456375839,1,4640.0,149.0,1550.0,0.006711409395973154,10.40268456375839
5,"Senior Manager, Sales Enablement and Development",,1,18750.0,367.0,1403.0,0.0027247956403269754,3.8228882833787465,1,18750.0,367.0,1403.0,0.0027247956403269754,3.8228882833787465
6,Payment Posting Specialist,,1,3360.0,409.0,1383.0,0.0024449877750611247,3.3814180929095357,1,3360.0,409.0,1383.0,0.0024449877750611247,3.3814180929095357
7,Digital Producer,,1,7708.0,276.0,1382.0,0.0036231884057971015,5.007246376811594,1,7708.0,276.0,1382.0,0.0036231884057971015,5.007246376811594
8,Care Coordination Manager,,1,8437.0,320.0,1355.0,0.003125,4.234375,1,8437.0,320.0,1355.0,0.003125,4.234375
9,Software Engineer - Content Systems,,1,10570.0,318.0,1284.0,0.0031446540880503146,4.037735849056604,1,10570.0,318.0,1284.0,0.0031446540880503146,4.037735849056604
10,Director of Growth Product,,1,21166.0,330.0,1251.0,0.0030303030303030303,3.790909090909091,1,21166.0,330.0,1251.0,0.0030303030303030303,3.790909090909091
11,Associate Research Analyst,,1,4000.0,307.0,1228.0,0.003257328990228013,4.0,1,4000.0,307.0,1228.0,0.003257328990228013,4.0
12,"Vice President, Chief of Staff to the Chief Legal Officer",NY,1,19833.0,92.0,1223.0,0.010869565217391304,13.293478260869565,1,19833.0,92.0,1223.0,0.010869565217391304,13.293478260869565
13,Front End Engineer,WA,1,14108.0,289.0,1182.0,0.0034602076124567475,4.0899653979238755,1,14108.0,289.0,1182.0,0.0034602076124567475,4.0899653979238755
14,Green Building Consultant,,1,7083.0,131.0,1168.0,0.007633587786259542,8.916030534351146,1,7083.0,131.0,1168.0,0.007633587786259542,8.916030534351146
15,Data Analyst - Remote / Contract,CA,1,12320.0,300.0,1138.0,0.0033333333333333335,3.7933333333333334,1,12320.0,300.0,1138.0,0.0033333333333333335,3.7933333333333334
16,"Engineering Manager, Software Engineering",,1,16337.0,263.0,1129.0,0.0038022813688212928,4.2927756653992395,1,16337.0,263.0,1129.0,0.0038022813688212928,4.2927756653992395
17,"The North Face: Coordinator, Sports Marketing",CO,1,7475.0,188.0,1098.0,0.005319148936170213,5.840425531914893,1,7475.0,188.0,1098.0,0.005319148936170213,5.840425531914893
18,Patient Advocate - Healthcare Customer Service (Remote),,1,2880.0,309.0,1062.0,0.003236245954692557,3.436893203883495,1,2880.0,309.0,1062.0,0.003236245954692557,3.436893203883495
19,Creative Producer ,CA,1,6250.0,311.0,1056.0,0.003215434083601286,3.395498392282958,1,6250.0,311.0,1056.0,0.003215434083601286,3.395498392282958
20,Staff Safety & Systems Investigator,,1,15295.0,44.0,1044.0,0.022727272727272728,23.727272727272727,1,15295.0,44.0,1044.0,0.022727272727272728,23.727272727272727
21,"Data Analyst, Real-Time Supply Management (Hybrid)",CA,1,11250.0,347.0,1038.0,0.002881844380403458,2.9913544668587897,1,11250.0,347.0,1038.0,0.002881844380403458,2.9913544668587897
22,Principal Product Marketing Manager - Marketing Hub,,1,15000.0,202.0,1017.0,0.0049504950495049506,5.034653465346534,1,15000.0,202.0,1017.0,0.0049504950495049506,5.034653465346534
23,"Associate Software Engineer (Python, API, Serverless)",NY,1,6250.0,265.0,1006.0,0.0037735849056603774,3.7962264150943397,1,6250.0,265.0,1006.0,0.0037735849056603774,3.7962264150943397
24,Director of Franchise Sales,,1,12500.0,320.0,1003.0,0.003125,3.134375,1,12500.0,320.0,1003.0,0.003125,3.134375
25,"Team Lead, Complaints",IL,1,11558.0,253.0,981.0,0.003952569169960474,3.877470355731225,1,11558.0,253.0,981.0,0.003952569169960474,3.877470355731225
26,Java Developer,,1,8541.0,418.0,981.0,0.0023923444976076554,2.34688995215311,1,8541.0,418.0,981.0,0.0023923444976076554,2.34688995215311
27,Chief Operating Officer,,1,16666.0,244.0,979.0,0.004098360655737705,4.012295081967213,1,16666.0,244.0,979.0,0.004098360655737705,4.012295081967213
28,Business Data Analyst,,1,13120.0,206.0,974.0,0.0048543689320388345,4.728155339805825,1,13120.0,206.0,974.0,0.0048543689320388345,4.728155339805825
29,Trading Associate,NY,1,6250.0,309.0,960.0,0.003236245954692557,3.1067961165048543,1,6250.0,309.0,960.0,0.003236245954692557,3.1067961165048543
30,Lead Data Scientist,,1,18416.0,318.0,956.0,0.0031446540880503146,3.006289308176101,1,18416.0,318.0,956.0,0.0031446540880503146,3.006289308176101
31,"Data Engineer, Google Nest",CA,1,11833.0,278.0,945.0,0.0035971223021582736,3.3992805755395685,1,11833.0,278.0,945.0,0.0035971223021582736,3.3992805755395685
32,Box Office Specialist (Weekends),,1,2400.0,33.0,939.0,0.030303030303030304,28.454545454545453,1,2400.0,33.0,939.0,0.030303030303030304,28.454545454545453
33,Administrative Associate 3- Hybrid/ Open to Remote,CA,1,5875.0,136.0,938.0,0.007352941176470588,6.897058823529412,1,5875.0,136.0,938.0,0.007352941176470588,6.897058823529412
34,Senior Marketing Communications Manager,,1,6250.0,221.0,917.0,0.004524886877828055,4.149321266968326,1,6250.0,221.0,917.0,0.004524886877828055,4.149321266968326
35,Azure Data Engineer,,1,10400.0,386.0,906.0,0.0025906735751295338,2.3471502590673574,1,10400.0,386.0,906.0,0.0025906735751295338,2.3471502590673574
36,"Director, Relationship Marketing (Print & Email)",CA,1,12916.0,101.0,891.0,0.009900990099009901,8.821782178217822,1,12916.0,101.0,891.0,0.009900990099009901,8.821782178217822
37,Senior Technical Program Manager,,1,13333.0,192.0,889.0,0.005208333333333333,4.630208333333333,1,13333.0,192.0,889.0,0.005208333333333333,4.630208333333333
38,Field Service Representative,,1,8958.0,80.0,888.0,0.0125,11.1,1,8958.0,80.0,888.0,0.0125,11.1
39,Credit and Asset Management Vice President,NY,1,16666.0,90.0,873.0,0.011111111111111112,9.7,1,16666.0,90.0,873.0,0.011111111111111112,9.7
40,Principal Product Owner,,1,12329.0,109.0,861.0,0.009174311926605505,7.89908256880734,1,12329.0,109.0,861.0,0.009174311926605505,7.89908256880734
41,Head of Retail,CA,1,12500.0,120.0,847.0,0.008333333333333333,7.058333333333334,1,12500.0,120.0,847.0,0.008333333333333333,7.058333333333334
42,New Grad - Data Analyst II,CO,1,5808.0,368.0,822.0,0.002717391304347826,2.233695652173913,1,5808.0,368.0,822.0,0.002717391304347826,2.233695652173913
43,Product Developer,,1,5939.0,258.0,812.0,0.003875968992248062,3.147286821705426,1,5939.0,258.0,812.0,0.003875968992248062,3.147286821705426
44,Associate Medical Director,,1,24000.0,54.0,811.0,0.018518518518518517,15.018518518518519,1,24000.0,54.0,811.0,0.018518518518518517,15.018518518518519
45,Full Stack Developer,PA,1,10560.0,328.0,803.0,0.003048780487804878,2.448170731707317,1,10560.0,328.0,803.0,0.003048780487804878,2.448170731707317
46,"Strategy Manager, Google Workspace",WA,2,13500.0,33.0,366.0,0.06060606060606061,11.090909090909092,3,13500.0,72.5,792.5,0.034767316017316016,10.987418831168831
47,"Strategy Manager, Google Workspace",NY,1,13500.0,112.0,1219.0,0.008928571428571428,10.883928571428571,3,13500.0,72.5,792.5,0.034767316017316016,10.987418831168831
48,Software Engineer - Database Engineering (Seattle),WA,1,15354.0,198.0,790.0,0.005050505050505051,3.98989898989899,1,15354.0,198.0,790.0,0.005050505050505051,3.98989898989899
49,Senior Vice President of Corporate Partnerships,CA,1,18750.0,64.0,786.0,0.015625,12.28125,1,18750.0,64.0,786.0,0.015625,12.28125
50,Entertainment Production Manager,CA,1,10750.0,125.0,780.0,0.008,6.24,1,10750.0,125.0,780.0,0.008,6.24
51,Brand Partnerships Consultant,NY,1,5000.0,211.0,763.0,0.004739336492890996,3.6161137440758293,1,5000.0,211.0,763.0,0.004739336492890996,3.6161137440758293
52,Performance Based Marketing Manager - Digital Marketing ,,1,9791.0,313.0,744.0,0.003194888178913738,2.376996805111821,1,9791.0,313.0,744.0,0.003194888178913738,2.376996805111821
53,Video Producer,NY,1,10080.0,204.0,737.0,0.004901960784313725,3.6127450980392157,1,10080.0,204.0,737.0,0.004901960784313725,3.6127450980392157
54,Head of Visual Design Operating Systems,,1,10000.0,137.0,728.0,0.0072992700729927005,5.313868613138686,1,10000.0,137.0,728.0,0.0072992700729927005,5.313868613138686
