,company_name,title,salary,applies,job_count,min_salary,med_salary,max_salary
0,Goliath Partners,Quantitative Developer,87500,14.0,3,31250,35416,87500
1,Harris County,Criminal Court Clerk,83202,17.0,2,10833,10833,83202
2,Selby Jennings,Tech Lead Manager (L6-L8) | Disruptive FinTech,72916,48.0,4,14583,41666,72916
3,UP Talent Group,Head of Sales & Marketing (Healthcare),66666,,1,66666,66666,66666
4,Selby Jennings,Fintech Startup | Tech Lead Manager - Software Engineer,66666,,4,14583,41666,72916
5,Crossover ,"Chief Software Architect, Trilogy (Remote) - $800,000/year USD",66666,2.0,23,2400,16666,66666
6,Crossover ,"Distinguished Engineer, Trilogy (Remote) - $800,000/year USD",66666,6.0,23,2400,16666,66666
7,Baylor Scott & White Health,"Director of Product, MyBSWHealth",62500,,3,7334,62500,62500
8,Baylor Scott & White Health,"Director of Product, MyBSWHealth",62500,,3,7334,62500,62500
9,ICON Strategic Solutions,Senior Project Manager,62500,15.0,1,62500,62500,62500
10,Viasat,"President, Platforms and Software Engineering",50000,,4,3360,3360,50000
11,Selby Jennings,Quantitative Prop Trading Firm | Senior Software Engineer,41666,,4,14583,41666,72916
12,Stanford University,Faculty Affairs Administrator 2,36274,,8,5375,6228,36274
13,Atlantic Group,Psychiatrist,36000,,7,3520,7291,36000
14,Goliath Partners,Quantitative Researcher,35416,49.0,3,31250,35416,87500
15,DocCafe,"Internal Medicine Physician - $350,000/yearly - $500,000/yearly",35416,,5,11520,12800,35416
16,Crossover ,"Account Manager (Remote) - $400,000/year USD",33333,8.0,23,2400,16666,66666
17,Crossover ,"Vice President Strategy, Trilogy (Remote) - $400,000/year USD",33333,21.0,23,2400,16666,66666
18,Crossover ,"Enterprise Account Executive (Remote) - $400,000/year USD",33333,4.0,23,2400,16666,66666
19,Crossover ,"Director Data Science, Trilogy (Remote) - $400,000/year USD",33333,11.0,23,2400,16666,66666
20,Crossover ,"Head of AI Engineering, Trilogy (Remote) - $400,000/year USD",33333,2.0,23,2400,16666,66666
21,Guardian Life,Head of Corporate Development & Partnerships,33333,56.0,2,4921,4921,33333
22,Goliath Partners,Software Engineer,31250,21.0,3,31250,35416,87500
23,"Summit Funding, Inc.",Branch Leader,30208,,9,30208,30208,30208
24,"Summit Funding, Inc.",Branch Leader,30208,,9,30208,30208,30208
25,"Summit Funding, Inc.",Branch Leader,30208,,9,30208,30208,30208
26,"Summit Funding, Inc.",Area Leader,30208,,9,30208,30208,30208
27,"Summit Funding, Inc.",Branch Leader,30208,1.0,9,30208,30208,30208
28,"Summit Funding, Inc.",Branch Leader,30208,,9,30208,30208,30208
29,"Summit Funding, Inc.",Branch Leader,30208,,9,30208,30208,30208
30,"Summit Funding, Inc.",Branch Leader,30208,1.0,9,30208,30208,30208
31,"Summit Funding, Inc.",Area Leader,30208,,9,30208,30208,30208
32,DNA Partners,Senior Labor & Employment Attorney,30208,1.0,3,6875,7083,30208
33,Northwestern Mutual,Financial Advisor (Training Provided),28583,12.0,3,5833,7842,28583
34,NYU Langone Health,Vice Chief -Emergency Department,27500,1.0,40,1754,5920,27500
35,Cisco,Business Solutions Manager - Bay Area/Denver/Portland/Seattle,27420,,17,10800,18079,27420
36,Cisco,Business Solutions Manager- Dallas/Austin/Houston/Oklahoma,26687,,17,10800,18079,27420
37,Cisco,Business Solutions Manager- Dallas/Austin/Houston/Oklahoma,26687,,17,10800,18079,27420
38,Acrisure,Head of Growth (NY Platform),26458,,1,26458,26458,26458
39,"Niantic, Inc.",Head of People,26458,7.0,1,26458,26458,26458
40,Rambus,Dir Sales,26250,3.0,1,26250,26250,26250
41,Gilead Sciences,"Executive Director, Head of Clinical Data Management",25504,14.0,3,17769,20531,25504
42,AppDynamics,AppDynamics Enterprise Sales Representative - NYC,25308,10.0,2,25308,25308,25308
43,AppDynamics,AppDynamics Enterprise Sales Representative - NYC,25308,7.0,2,25308,25308,25308
44,Spotter,"Director, Analytics - Underwriting",25000,6.0,3,23750,25000,25000
45,Spotter,"Manager, Analytics - Underwriting",25000,9.0,3,23750,25000,25000
46,"Connect Search, LLC",Tax Director,25000,1.0,2,10625,10625,25000
47,INNOCEAN USA,"SVP, Group Director, Digital Strategy & Analytics",25000,,2,4480,4480,25000
48,Oscar,Chief Development Officer ,24583,72.0,3,6250,12500,24583
49,Amazon,"Director, Audio and Podcast Advertising, Twitch Advertising",24479,11.0,56,2720,11404,24479
50,Hewlett Packard Enterprise,Storage Sales Specialist,24425,4.0,1,24425,24425,24425
51,Noom,"Director of Engineering, Growth",24000,408.0,7,10875,18750,24000
52,Noom,Associate Medical Director,24000,54.0,7,10875,18750,24000
53,SAP,S/4HANA Public Cloud Enterprise Architect - West,23966,2.0,5,9125,20195,23966
54,The Advocates,Trial Attorney,23958,3.0,1,23958,23958,23958
55,Apple,"Senior Manager - Maintenance Engineering, Maps",23958,,9,12437,15575,23958
56,Spotter,Recruiting Coordinator,23750,18.0,3,23750,25000,25000
57,HealthCare Recruiters International,"Psychiatrist, Principal Investigtor",23750,,3,7291,14583,23750
58,Apple,"AIML - Senior Data Infrastructure Software Engineer, Machine Learning Platform and Technology",23495,,9,12437,15575,23958
59,Kramer Davis Health,Medical Department Head,23333,,2,10416,10416,23333
60,Fivetran,VP Product Management - Databases,23250,15.0,1,23250,23250,23250
61,Culver Careers (CulverCareers.com),Medical Sales Representative,22916,,1,22916,22916,22916
62,ORANGE COUNTY EMERGENCY PET CLINIC,Emergency Veterinarian,22916,,1,22916,22916,22916
63,TOA Global,President TOA Global - North America,22916,1.0,1,22916,22916,22916
64,Christie's,"Regional Managing Director, Post War & Contemporary Art",22916,,2,3520,3520,22916
65,Cisco,Growth Sales Account Manager - Iowa,22654,,17,10800,18079,27420
66,New York Life Insurance Company,Accelerated Path to Management ,22574,,3,8750,9583,22574
67,Proven Recruiting,Chief Financial Officer – Private Equity,22500,,4,9120,11666,22500
68,NYS Office of General Services,"Psychiatrist 2, Children and Youth, Rockland Children's Psychiatric Center, Orange BOCES, P24396",22444,,5,4552,7710,22444
69,Google,"Director, Customer Engineering, Apigee, Google Cloud",22416,4.0,93,7000,15250,22416
70,Google,"Director, Customer Engineering, Apigee, Google Cloud",22416,7.0,93,7000,15250,22416
71,Google,"Director, Customer Engineering, Apigee, Google Cloud",22416,8.0,93,7000,15250,22416
72,Google,"Director, Customer Engineering, Apigee, Google Cloud",22416,5.0,93,7000,15250,22416
73,Google,"Director, Customer Engineering, Apigee, Google Cloud",22416,5.0,93,7000,15250,22416
74,Google,"Director, Customer Engineering, Apigee, Google Cloud",22416,6.0,93,7000,15250,22416
75,Nextracker Inc.,Head of Internal Audit,22137,,2,7787,7787,22137
76,Google,"AI Consultant, Google Cloud",22083,4.0,93,7000,15250,22416
77,Google,"AI Consultant, Google Cloud",22083,11.0,93,7000,15250,22416
78,Google,"AI Consultant, Google Cloud",22083,6.0,93,7000,15250,22416
79,Google,"AI Consultant, Google Cloud",22083,8.0,93,7000,15250,22416
80,RH,"Senior Counsel, Employment",22083,,8,3040,4000,22083
81,Datadog,"Senior Director, Field Marketing (Global)",22041,10.0,7,8333,15125,22041
82,Cisco,Platform Cloud and Data Infrastructure Architect (Cyber Security) (Remote),21908,17.0,17,10800,18079,27420
83,Colburn Financial,remote Salesperson,21875,31.0,1,21875,21875,21875
84,Storm3,Senior Vice President of Sales,21875,1.0,5,15833,20833,21875
85,Cisco,Growth Sales Account Manager - US Public Sector - Houston (1408242),21845,18.0,17,10800,18079,27420
86,Vital Staffing ,Psychiatrist,21666,,1,21666,21666,21666
87,NYU Langone Health,Director of Women's Health,21666,1.0,40,1754,5920,27500
88,Google,"Technical Program Manager Lead, CPU",21416,,93,7000,15250,22416
89,Google,"Technical Program Manager Lead, CPU",21416,,93,7000,15250,22416
90,SAP,Digital Experiences Analytics Senior Manager,21404,10.0,5,9125,20195,23966
91,Noom,Director of Growth Product,21166,330.0,7,10875,18750,24000
92,"Clinicas del Camino Real, Inc.",Family Physician,20958,,1,20958,20958,20958
93,Agilent Technologies,Business Development Manager - Gene Editing for Therapeutics,20866,7.0,8,6699,6699,20866
94,Commercial Equipment Financing,Sales Executive,20833,,1,20833,20833,20833
95,Jobot Health,Locum Anesthesiologist,20833,,4,20833,20833,20833
96,Jobot Health,Locum Anesthesiologist,20833,,4,20833,20833,20833
97,Jobot Health,Locum Anesthesiologist,20833,,4,20833,20833,20833
98,Jobot Health,Locum CRNA,20833,,4,20833,20833,20833
99,"Lord, Abbett & Co. LLC",Special Situations Analyst,20833,18.0,1,20833,20833,20833
100,Lumicity,ML Compiler ,20833,25.0,1,20833,20833,20833
101,"Redaptive, Inc",Vice President of Service Delivery,20833,,1,20833,20833,20833
102,Storm3,"Director, Machine Learning Platform",20833,,5,15833,20833,21875
103,Storm3,Principal MLOps Engineer,20833,,5,15833,20833,21875
104,Oliver James,ServiceNow Platform Architect,20833,4.0,2,14583,14583,20833
105,Mastercard,"Vice President, Tech Frontline Risk and Controls",20833,30.0,15,6250,12208,20833
106,Exelon,Project Manager - Pepco,20833,10.0,2,2400,2400,20833
107,Novo Nordisk,Senior Director - Market Access - National Accounts - UHG / OPTUM RX / UHC,20815,17.0,1,20815,20815,20815
108,MSD,Data Engineering Product Lead (Hybrid),20747,7.0,1,20747,20747,20747
109,David Yurman,"Associate Vice President (AVP), Strategic Media & Channel Marketing",20625,66.0,1,20625,20625,20625
110,MuleSoft,Software Engineering Sr Manager/Director/Senior Director,20575,67.0,1,20575,20575,20575
111,Slack,Software Engineering Sr Manager/Director/Senior Director,20575,203.0,2,16337,16337,20575
112,Gilead Sciences,Senior Counsel I - GTAL HIV Prevention,20531,3.0,3,17769,20531,25504
113,DocCafe,"Family Practice-Without OB Physician - $230,000/yearly - $260,000/yearly",20416,,5,11520,12800,35416
114,SAP,Digital Presales Specialist Solution Advisor,20195,17.0,5,9125,20195,23966
115,OpenAI,"HR Business Partner, Go To Market and Sales",20000,10.0,1,20000,20000,20000
116,eBay,"Director of Product, Risk/Compliance",19962,,2,7833,7833,19962
117,Mastercard,"Vice President, Chief of Staff to the Chief Legal Officer",19833,92.0,15,6250,12208,20833
118,Dennis & Co. Auto Group,Director of Consulting - Automotive Retail Performance Optimization,19791,69.0,1,19791,19791,19791
119,Link2USA ,Director of Lifecycle Marketing,19791,26.0,1,19791,19791,19791
120,Planet Pharma,"Safety Physician, Global Safety Lead- 578165 ",19791,43.0,8,3680,5120,19791
121,Apple,Battery Electrochemical Modeling Lead Engineer,19620,,9,12437,15575,23958
122,Liberty Mutual Insurance,Business Information Security Officer - GCS,19616,3.0,21,7762,8075,19616
123,Liberty Mutual Insurance,Business Information Security Officer - GCS,19616,6.0,21,7762,8075,19616
124,Edgewise Therapeutics,"Director/Senior Director/Executive Director, Medical Affairs - Cardiovascular",19583,42.0,1,19583,19583,19583
125,Amazon Web Services (AWS),"Principal Applied Scientist, AWS Marketing",19520,1.0,12,11562,14600,19520
126,Google,"Software Engineering Manager II, Google Cloud Unified Fulfillment Optimization",19500,8.0,93,7000,15250,22416
127,Google,"Software Engineering Manager II, Google Cloud Unified Fulfillment Optimization",19500,7.0,93,7000,15250,22416
128,Google,"Software Engineering Manager II, Google Cloud Unified Fulfillment Optimization",19500,9.0,93,7000,15250,22416
129,Google,"Staff Connectivity Security Researcher, Google Pixel",19500,1.0,93,7000,15250,22416
130,Google,"Staff Connectivity Security Researcher, Google Pixel",19500,,93,7000,15250,22416
131,Google,"Staff Connectivity Security Researcher, Google Pixel",19500,,93,7000,15250,22416
132,Google,"Staff Connectivity Security Researcher, Google Pixel",19500,1.0,93,7000,15250,22416
133,Google,"Staff Software Engineer, Infrastructure, Google Cloud Security and Privacy",19500,1.0,93,7000,15250,22416
134,Google,"Technical Lead, Networking, Pixel Connectivity",19500,3.0,93,7000,15250,22416
135,Google,"Technical Lead, Networking, Pixel Connectivity",19500,3.0,93,7000,15250,22416
136,Google,"Staff Software Engineer, Google Cloud Unified Fulfillment Optimization",19500,1.0,93,7000,15250,22416
137,Google,"Staff Software Engineer, Google Cloud Unified Fulfillment Optimization",19500,2.0,93,7000,15250,22416
138,Google,"Staff Software Engineer, Google Cloud Unified Fulfillment Optimization",19500,2.0,93,7000,15250,22416
139,Google,"Staff Software Engineer, Google Cloud Unified Fulfillment Optimization",19500,2.0,93,7000,15250,22416
140,Google,"Technical Lead, Networking, Pixel Connectivity",19500,,93,7000,15250,22416
141,Google,"Staff Software Engineer, Infrastructure, Google Cloud Application Modernization",19500,2.0,93,7000,15250,22416
142,ByteDance,Senior Software Engineer Infrastructure System Lab,19458,,2,14241,14241,19458
143,Amazon Web Services (AWS),"Senior Manager PM-T, Commerce Platform",19425,19.0,12,11562,14600,19520
144,Annexon Biosciences,"Director/Senior Director, CMC",19291,12.0,1,19291,19291,19291
145,Spice AI,Head of Engineering,19166,12.0,1,19166,19166,19166
146,Zentalis Pharmaceuticals,Director Biostatistics,19166,3.0,1,19166,19166,19166
147,Russell Tobin,SENIOR IRRBB Manager,19166,1.0,12,4000,10240,19166
148,Green Dot Corporation,Remote - Head of Core Platforms - VP,19129,26.0,1,19129,19129,19129
149,Applied Materials,Talent & Productivity Program Management Director,19000,3.0,15,4960,5280,19000
150,Applied Materials,Senior Director Process Engineer,19000,5.0,15,4960,5280,19000
151,Micron Technology,SMTS - DEG HBM Design,18916,3.0,1,18916,18916,18916
152,Zoox,"Manager, Core Firmware Validation",18916,5.0,1,18916,18916,18916
153,Infineon Technologies,Lead Principal Engineer Analog Design,18857,,1,18857,18857,18857
154,Storm3,Principal Machine Learning Engineer ,18750,,5,15833,20833,21875
155,Crocs,"Crocs Inc: Sr. Director, eCommerce Product Management",18750,41.0,1,18750,18750,18750
156,Dandy,Staff Software Engineer,18750,50.0,1,18750,18750,18750
157,Leatherwood Legal Recruiting,White Collar Defense & Investigations Attorney,18750,10.0,1,18750,18750,18750
158,Noom,"Senior Manager, Sales Enablement and Development",18750,367.0,7,10875,18750,24000
159,San Diego Wave Fútbol Club,Senior Vice President of Corporate Partnerships,18750,64.0,1,18750,18750,18750
