,company_name,title,med_salary,formatted_work_type,formatted_experience_level,location,remote_allowed,applies,views
0,Crossover ,"Head of AI Engineering, Trilogy (Remote) - $400,000/year USD",33333,Full-time,Executive,"Palm Bay, FL",True,2,12
1,Crossover ,"Director Data Science, Trilogy (Remote) - $400,000/year USD",33333,Full-time,Executive,"New York, United States",True,11,93
2,Gilead Sciences,"Executive Director, Head of Clinical Data Management",25504,Full-time,N/A,"Foster City, CA",False,14,156
3,INNOCEAN USA,"SVP, Group Director, Digital Strategy & Analytics",25000,Full-time,Executive,"Huntington Beach, CA",False,0,202
4,Spotter,"Manager, Analytics - Underwriting",25000,Full-time,Mid-Senior level,"Culver City, CA",False,9,52
5,Spotter,"Director, Analytics - Underwriting",25000,Full-time,Director,"Culver City, CA",False,6,65
6,Apple,"AIML - Senior Data Infrastructure Software Engineer, Machine Learning Platform and Technology",23495,Full-time,N/A,"Cupertino, CA",False,0,0
7,Google,"AI Consultant, Google Cloud",22083,Full-time,N/A,"Seattle, WA",False,8,116
8,Google,"AI Consultant, Google Cloud",22083,Full-time,N/A,"Los Angeles, CA",False,6,158
9,Google,"AI Consultant, Google Cloud",22083,Full-time,N/A,"Irvine, CA",False,11,113
10,Google,"AI Consultant, Google Cloud",22083,Full-time,N/A,"Chicago, IL",False,4,128
11,Cisco,Platform Cloud and Data Infrastructure Architect (Cyber Security) (Remote),21908,Full-time,N/A,"San Jose, CA",True,17,95
12,SAP,Digital Experiences Analytics Senior Manager,21404,Full-time,N/A,"New York, NY",False,10,66
13,Lumicity,ML Compiler ,20833,Full-time,Mid-Senior level,San Francisco Bay Area,False,25,126
14,Storm3,"Director, Machine Learning Platform",20833,Full-time,Director,United States,True,0,0
15,"Lord, Abbett & Co. LLC",Special Situations Analyst,20833,Full-time,Associate,"Jersey City, NJ",False,18,412
16,MSD,Data Engineering Product Lead (Hybrid),20747,Full-time,N/A,"West Point, PA",False,7,22
17,Storm3,Principal Machine Learning Engineer ,18750,Full-time,Mid-Senior level,United States,True,0,0
18,Nextdoor,Machine Learning Engineer - Notifications,18666,Full-time,Mid-Senior level,"San Francisco, CA",False,172,476
19,Noom,Lead Data Scientist,18416,Full-time,Entry level,United States,True,318,956
20,Adobe,Machine Learning Engineer 5,17616,Full-time,Entry level,"San Jose, CA",False,8,72
21,Adobe,Machine Learning Engineer 5,17616,Full-time,Entry level,"San Francisco, CA",False,5,56
22,Google,"Product Analyst Manager II, Data Science",17333,Full-time,N/A,"Mountain View, CA",False,12,88
23,Google,"Product Analyst Manager II, Data Science",17333,Full-time,N/A,"Kirkland, WA",False,11,107
24,Google,"Product Analyst Manager II, Data Science",17333,Full-time,N/A,"New York, NY",False,23,188
25,Google,"Product Analyst Manager II, Data Science",17333,Full-time,N/A,"Seattle, WA",False,11,99
26,FICO,Sr. Principal Engineer – Transactional Analytics /C++ (Remote),17250,Full-time,Mid-Senior level,United States,True,13,163
27,Meta,"Software Engineer, Machine Learning - Reality Labs",17249,Full-time,N/A,"Burlingame, CA",False,12,236
28,Meta,"Software Engineer, Machine Learning - Reality Labs",17249,Full-time,N/A,"Boston, MA",False,7,181
29,Amazon,"Senior Manager, Business Intelligence, Amazon Exports",16745,Full-time,Director,"Seattle, WA",False,43,203
30,Crossover ,"Artificial Intelligence Engineer, Trilogy (Remote) - $200,000/year USD",16666,Full-time,Director,"Raleigh, NC",True,16,75
31,Crossover ,"AI Developer, Trilogy (Remote) - $200,000/year USD",16666,Full-time,Director,"Baton Rouge, LA",True,10,45
32,Crossover ,"AI Super Engineer, Trilogy (Remote) - $200,000/year USD",16666,Full-time,Director,"Reading, PA",True,4,31
33,Crossover ,"AI Developer, Trilogy (Remote) - $200,000/year USD",16666,Full-time,Director,"New York, United States",True,27,129
34,Booz Allen Hamilton,"Machine Learning Engineer, Senior",16508,Full-time,N/A,"Washington, DC",False,2,17
35,Forge,Machine Learning Engineer,15625,Full-time,Mid-Senior level,San Francisco Bay Area,True,147,532
36,Edelman,"Senior Vice President, Head of AI & Business Transformation Lead",15416,Full-time,Director,"New York, NY",False,5,59
37,QuinStreet,Senior Machine Learning Engineer,15416,Full-time,Mid-Senior level,United States,True,76,284
38,Mastercard,"Director, Data Strategy, Retail and Commerce",15375,Full-time,Director,"Georgia, United States",True,49,330
39,Google,"Hardware Architect, Machine Learning, Technical Infrastructure",15250,Full-time,N/A,"Sunnyvale, CA",False,1,85
40,Google,Senior Data Scientist,15250,Full-time,Mid-Senior level,"Mountain View, CA",False,34,258
41,Google,Senior Data Scientist,15250,Full-time,Mid-Senior level,"San Jose, CA",False,43,224
42,Google,Senior Data Scientist,15250,Full-time,Mid-Senior level,"Seattle, WA",False,46,279
43,Google,Senior Data Scientist,15250,Full-time,Mid-Senior level,"Kirkland, WA",False,22,180
44,Google,Senior Data Scientist,15250,Full-time,Mid-Senior level,"Austin, TX",False,33,219
45,Google,Senior Data Scientist,15250,Full-time,Mid-Senior level,"San Diego, CA",False,44,299
46,Google,Senior Data Scientist,15250,Full-time,Mid-Senior level,"Los Angeles, CA",False,27,256
47,Google,Senior Data Scientist,15250,Full-time,Mid-Senior level,"Sunnyvale, CA",False,19,162
